Location  ,   Latitude        , Longitude
city,	lat	, lng
Abbottabad,	34.15,	73.2167
Abdul Hakim,	30.5522,	72.1278
Aliabad,	36.3078,	74.6178
Alpurai,	34.9,	72.6556
Athmuqam,	34.5717,	73.8972
Attock City,	33.7667,	72.3598
Awaran,	26.4568,	65.2314
Badin,	24.6558,	68.8383
Bagh,	33.9803	, 73.7747
Bahawalnagar,	29.9983	, 73.2527
Bahawalpur,	29.3956	, 71.6722
Bannu,	32.9889	, 70.6056
Barkhan,	29.8977	, 69.5256
Batgram,	34.6796	, 73.0263
Bhakkar,	31.6333	, 71.0667
Chakwal,	32.93 , 72.85
Chaman,	30.921 , 66.4597
Charsadda,	34.1453	, 71.7308
Chilas,	35.4206	, 74.0967
Chiniot,	31.7167	, 72.9833
Chitral,	35.8511	, 71.7889
Dadu,	26.7319	, 67.775
Daggar,	34.5111	, 72.4844
Dainyor,	35.9206	, 74.3783
Dalbandin,	28.8885	, 64.4062
Dasu,	35.2917	, 73.2906
Dera Allahyar,	28.4167	, 68.1667
Dera Bugti,	29.0362	, 69.1585
Dera Ghazi Khan,	30.05, 70.6333
Dera Ismail Khan,	31.8167	, 70.9167
Dera Murad Jamali,	28.5466	, 68.2231
Eidgah,	35.3471	, 74.8563
Faisalabad,	31.418, 73.079
Gakuch,	36.1736	, 73.7667
Gandava,	28.6132	, 67.4856
Ghotki,	28.0064	, 69.315
Gilgit,	35.9208	, 74.3144
Gojra,	31.15, 72.6833
Gujranwala,	32.15, 74.1833
Gujrat,	32.5736	, 74.0789
Gwadar,	25.1264	, 62.3225
Hafizabad,	32.0709	, 73.688
Hangu,	33.5281	, 71.0572
Haripur,	33.9942	, 72.9333
Harunabad,	29.61, 73.1361
Hasilpur,	29.6967	, 72.5542
Hassan Abdal,	33.8195	, 72.689
Hujra Shah Muqim,	30.7333	, 73.8167
Hyderabad City,	25.3969	, 68.3772
Islamabad,	33.6989	, 73.0369
Jacobabad,	28.2769	, 68.4514
Jalalpur Jattan,	32.7667	, 74.2167
Jamshoro,	25.4283	, 68.2822
Jaranwala,	31.3342	, 73.4194
Jhang City,	31.2681	, 72.3181
Jhelum,	32.9333	, 73.7333
Kabirwala,	30.4068	, 71.8667
Kalat,	29.0266	, 66.5936
Kamalia,	30.7258	, 72.6447
Kandhkot,	28.4, 69.3
Karachi,	24.86, 67.01
Karak,	33.1167	, 71.0833
Kasur,	31.1167	, 74.45
Khairpur Mirâ€™s,	27.5295	, 68.7592
Khanewal,	30.3017	, 71.9321
Khanpur,	28.6471	, 70.662
Kharan,	28.5846	, 65.415
Kharian,	32.811, 73.865
Khushab,	32.2952	, 72.3502
Khuzdar,	27.8, 66.6167
Khuzdar,	27.7384	, 66.6434
Kohat,	33.5869	, 71.4414
Kohlu,	29.8965	, 69.2532
Kot Addu,	30.47, 70.9644
Kotli,	33.5156	, 73.9019
Kulachi,	31.9286	, 70.4592
Kundian,	32.4522	, 71.4718
Lahore,	31.5497	, 74.3436
Lakki,	32.6072	, 70.9123
Lala Musa,	32.7012	, 73.9605
Larkana,	27.56, 68.2264
Leiah,	30.9646	, 70.9444
Lodhran,	29.5339	, 71.6324
Loralai,	30.3705	, 68.5979
Malakand,	34.5656	, 71.9304
Mandi Bahauddin,	32.5861	, 73.4917
Mandi Burewala,	30.15, 72.6833
Mansehra,	34.3333	, 73.2
Mardan,	34.1958	, 72.0447
Mastung,	29.7997	, 66.8455
Matiari,	25.5971	, 68.4467
Mian Channun,	30.4397	, 72.3544
Mianwali,	32.5853	, 71.5436
Mingaora,	34.7717	, 72.36
Mirpur Khas,	25.5269	, 69.0111
Multan,	30.1978	, 71.4711
Muridke,	31.802, 74.255
Musa Khel Bazar,	30.8594	, 69.8221
Muzaffarabad,	34.37, 73.4711
Muzaffargarh,	30.0703	, 71.1933
Nankana Sahib,	31.4492	, 73.7124
Narowal,	32.102, 74.873
Naushahro Firoz,	26.8401	, 68.1227
Nawabshah,	26.2442	, 68.41
New Mirpur,	33.1333	, 73.75
Nowshera,	34.0153	, 71.9747
Okara,	30.81, 73.4597
Pakpattan,	30.35, 73.4
Panjgur,	26.9644	, 64.0903
Parachinar,	33.8992	, 70.1008
Pattoki,	31.0214	, 73.8528
Peshawar,	34, 71.5
Pishin,	30.5833	, 67
Qila Saifullah,	30.7008	, 68.3598
Quetta,	30.192, 67.007
Rahimyar Khan,	28.4202	, 70.2952
Rajanpur,	29.1041	, 70.3297
Rawala Kot,	33.8578	, 73.7604
Rawalpindi,	33.6007	, 73.0679
Risalpur Cantonment,	34.0049	, 71.9989
Saddiqabad,	28.3006	, 70.1302
Sahiwal,	30.6706	, 73.1064
Saidu Sharif,	34.75, 72.3572
Sanghar,	26.0464	, 68.9481
Sargodha,	32.0836	, 72.6711
Shahdad Kot,	27.8473	, 67.9068
Shakargarh,	32.2628	, 75.1583
Shekhupura,	31.7083	, 74
Shikarpur,	27.9556	, 68.6382
Sialkot City,	32.5, 74.5333
Sibi,	29.543, 67.8773
Sukkur,	27.6995	, 68.8673
Swabi,	34.1167	, 72.4667
Tando Allahyar,	25.4667	, 68.7167
Tando Muhammad Khan,	25.1239	, 68.5389
Tank,	32.2167	, 70.3833
